"ID","NAME","ACTORS","DIRECTOR","CONTENT"
"159","深海回航","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"160","Spirited Away","Issa Rae/Morgan Freeman/Robert Pattinson/Samuel L. Jackson/Tom Hanks","Gaspar Noé","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"161","暗夜追凶","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"162","倒计时零点","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"163","倒计时零点","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"164","Toy Story 3","Amy Adams/Zendaya","Greta Gerwig","Directed by Greta Gerwig, Toy Story 3 delivers stunning visuals and emotional depth."
"165","玻璃之城","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"166","Winnie the Pooh","Octavia Spencer","Isao Takahata","From the bustling streets of a forgotten city to the opulent halls of power, Winnie the Pooh delves into the complexities of love with unflinching honesty. Octavia spencer's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"167","Harry Potter and the Sorcerer's Stone","Chris Hemsworth/Tracee Ellis Ross/Heath Ledger/Leonardo DiCaprio/Anne Hathaway","Tyler Perry","The film explores themes of courage through the eyes of Aaliyah."
"168","逆流而上","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"169","边境迷雾","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"170","雪山之下","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"171","倒计时零点","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"172","边境迷雾","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"173","最后一封信","黄凯/孙婷","赵军","一封尘封多年的信件被意外发现，一家人被迫重新面对被掩埋的真相。"
"174","暗夜追凶","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"175","Cinderella","Meryl Streep/Taraji P. Henson/Samuel L. Jackson/Denzel Washington/Ryan Gosling","David Fincher","Cinderella is a must-watch for fans of romance."
"176","The Shawshank Redemption","Jessica Chastain/Regina King","Ryan Murphy","The film explores themes of love through the eyes of Ciara."
"177","雪山之下","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"178","The Green Mile","H.E.R.","Quentin Tarantino","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"179","逆流而上","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"180","Treasure Planet","Robert Pattinson/Regina King/Angela Bassett/Chris Evans","Ridley Scott","Directed with masterful precision, Treasure Planet captures the raw emotion of friendship, as Angela Bassett navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"181","记忆裂痕","黄凯/孙婷","赵军","一封尘封多年的信件被意外发现，一家人被迫重新面对被掩埋的真相。"
"182","Frozen II","Taraji P. Henson/Florence Pugh/Robert Pattinson","Greta Gerwig","The film explores themes of courage through the eyes of Daniel Radcliffe."
"183","Chicken Little","Halle Berry/Kelly Rowland/Zendaya/Morgan Freeman/Daniel Radcliffe","Zhang Yimou","Celebrating the resilience of the human spirit, Chicken Little transports viewers to a bygone era filled with lavish costumes and sweeping romances. Daniel radcliffe delivers a nuanced performance in this drama that balances joy and sorrow with exquisite grace."
"184","The Fox and the Hound","Regina King/Tracee Ellis Ross/Ryan Gosling/Robert Downey Jr.","Mamoru Hosoda","A whimsical adventure unfolds in The Fox and the Hound, where Ryan Gosling uncovers a secret society of magical creatures in a vibrant, hand-drawn world bursting with color and imagination. Laughter and tears intermingle in this heartfelt story of friendship and self-discovery, perfect for dreamers of all ages."
"185","孤岛信号","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"186","边境迷雾","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"187","深海回航","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"188","Sleeping Beauty","Robert Downey Jr./Florence Pugh/Daniel Radcliffe/Ryan Gosling/Brad Pitt","Lars von Trier","From the bustling streets of a forgotten city to the opulent halls of power, Sleeping Beauty delves into the complexities of revenge with unflinching honesty. Robert downey jr.'s tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"189","旧梦重来","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"190","时间回声","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
"191","Fight Club","Emma Watson/Daniel Radcliffe/Christian Bale/Chris Evans","Ava DuVernay","In Fight Club, Jessica Chastain stars as a hero on a mission to forge unlikely alliances."
"192","雪山之下","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"193","Monsters Inc.","Jessica Chastain/Heath Ledger/Leonardo DiCaprio/Ciara","Taika Waititi","In Monsters Inc., Kelly Rowland stars as a hero on a mission to forge unlikely alliances."
"194","荒原之路","吴昊/郑琳/马超","周强","几位年轻人在大城市夹缝中生存，在现实压力下寻找自我与尊严。"
"195","暗夜追凶","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"196","Aladdin and the King of Thieves","Aaliyah/Johnny Depp/Jada Pinkett Smith/Robert Downey Jr.","John Singleton","Celebrating the resilience of the human spirit, Aladdin and the King of Thieves transports viewers to a bygone era filled with lavish costumes and sweeping romances. Robert downey jr. delivers a nuanced performance in this drama that balances joy and sorrow with exquisite grace."
"197","雨夜列车","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"198","灰色协议","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"199","Spirited Away","Christian Bale/Viola Davis/Yara Shahidi/Will Smith","Mamoru Hosoda","Celebrating the resilience of the human spirit, Spirited Away transports viewers to a bygone era filled with lavish costumes and sweeping romances. Yara shahidi delivers a nuanced performance in this drama that balances joy and sorrow with exquisite grace."
"200","灰色协议","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"201","时间回声","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
"202","Wreck-It Ralph","Tom Holland","Ridley Scott","In Wreck-It Ralph, Scarlett Johansson stars as a hero on a mission to overcome personal demons."
"203","深海回航","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"204","边境迷雾","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"205","Madagascar","Toni Braxton/Morgan Freeman/Will Smith","Satoshi Kon","Directed by Satoshi Kon, Madagascar delivers stunning visuals and emotional depth."
"206","Inception","Ciara","Christopher Nolan","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"207","旧梦重来","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"208","雨夜列车","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"209","Big Hero 6","Robert Pattinson/Halle Berry/Octavia Spencer/Kate Winslet/Leonardo DiCaprio","Tyler Perry","Heartwarming and hilarious, Big Hero 6 chronicles the unlikely bond between Octavia Spencer and a mischievous sidekick, leading to uproarious escapades and life-changing revelations. Warm humor and poignant lessons about family and forgiveness shine through every frame."
"210","Sing","Tom Holland","Steven Spielberg","The film explores themes of courage through the eyes of Fantasia Barrino."
"211","最后一封信","黄凯/孙婷","赵军","一封尘封多年的信件被意外发现，一家人被迫重新面对被掩埋的真相。"
"212","Inception","Chris Evans/Issa Rae","Shaft","In Inception, Tom Holland stars as a hero on a mission to forge unlikely alliances."
"213","城市边缘","吴昊/郑琳/马超","周强","几位年轻人在大城市夹缝中生存，在现实压力下寻找自我与尊严。"
"214","城市边缘","吴昊/郑琳/马超","周强","几位年轻人在大城市夹缝中生存，在现实压力下寻找自我与尊严。"
"215","Despicable Me","Kelly Rowland/Heath Ledger/Emma Watson/Kate Winslet/Will Smith","Ari Aster","Directed by Ari Aster, Despicable Me delivers stunning visuals and emotional depth."
"216","静默病房","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"217","Atlantis: The Lost Empire","Amy Adams","John Singleton","In this epic tale, Amy Adams embarks on a perilous journey through ancient forests and towering mountains, discovering hidden powers that could save their world from impending doom. With breathtaking visuals and heart-pounding action sequences, the film weaves a tapestry of courage, betrayal, and redemption that will leave audiences on the edge of their seats."
"218","Home on the Range","Octavia Spencer/Tom Holland/Ayo Edebiri","Ridley Scott","Set against a backdrop of cosmic wonders, Octavia Spencer leads a ragtag crew in Home on the Range on a quest to unravel the mysteries of the universe. Pulsing with energy, innovative special effects, and witty banter, this sci-fi spectacle redefines heroism in the stars."
"219","深海回航","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"220","Zootopia","Margot Robbie/Robert Pattinson","Park Chan-wook","From the bustling streets of a forgotten city to the opulent halls of power, Zootopia delves into the complexities of friendship with unflinching honesty. Robert pattinson's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"221","雨夜列车","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"222","静默病房","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"223","Chicken Little","Jessica Chastain/Timothée Chalamet/Toni Braxton","Wes Anderson","Directed with masterful precision, Chicken Little captures the raw emotion of love, as Jessica Chastain navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"224","玻璃之城","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"225","Treasure Planet","Kelly Rowland/Regina King/Regina King/Chris Evans","Wong Kar-wai","Treasure Planet is a must-watch for fans of comedy."
"226","记忆裂痕","黄凯/孙婷","赵军","一封尘封多年的信件被意外发现，一家人被迫重新面对被掩埋的真相。"
"227","孤岛信号","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"228","Wish","Octavia Spencer/Robert Downey Jr./Taraji P. Henson/Margot Robbie","Steven Spielberg","From the bustling streets of a forgotten city to the opulent halls of power, Wish delves into the complexities of redemption with unflinching honesty. Robert downey jr.'s tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"229","无声证人","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"230","The Little Mermaid II","Ryan Gosling","Ryan Coogler","Directed with masterful precision, The Little Mermaid II captures the raw emotion of courage, as Ryan Gosling navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"231","玻璃之城","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"232","Treasure Planet","Anne Hathaway/Samuel L. Jackson/Johnny Depp/Issa Rae","John Singleton","In a world where magic collides with modernity, Treasure Planet follows Anne Hathaway as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"233","Parasite","Lupita Nyong'o/Brandy Norwood/Jessica Chastain/Issa Rae/Amy Adams","Guillermo del Toro","Heartwarming and hilarious, Parasite chronicles the unlikely bond between Jessica Chastain and a mischievous sidekick, leading to uproarious escapades and life-changing revelations. Warm humor and poignant lessons about family and forgiveness shine through every frame."
"234","Star Wars","Robert Pattinson/Viola Davis/Lupita Nyong'o","Guillermo del Toro","The film explores themes of identity through the eyes of Issa Rae."
"235","灰色协议","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"236","暗夜追凶","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"237","静默病房","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"238","Oliver & Company","H.E.R./Ryan Gosling/Emma Watson","Ridley Scott","In a world where magic collides with modernity, Oliver & Company follows Emma Watson as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"239","The Shawshank Redemption","Heath Ledger/Tracee Ellis Ross/Morgan Freeman","Tyler Perry","In The Shawshank Redemption, Tom Hanks stars as a hero on a mission to sacrifice everything."
"240","Chicken Little","Colman Domingo/Aaliyah/Kate Winslet/Chris Evans","Lee Daniels","Directed by Lee Daniels, Chicken Little delivers stunning visuals and emotional depth."
"241","Ratatouille","Anne Hathaway/Robert Pattinson/Timothée Chalamet","Shyamalan","The film explores themes of identity through the eyes of Harrison Ford."
"242","Winnie the Pooh","Emma Watson","Ava DuVernay","In a world where magic collides with modernity, Winnie the Pooh follows Emma Watson as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"243","Moana","Tom Hanks/Taraji P. Henson/Anne Hathaway","Tim Burton","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"244","无声证人","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"245","边境迷雾","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"246","Brother Bear","Angela Bassett/Timothée Chalamet/Issa Rae/Angela Bassett/Toni Braxton","David Fincher","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"247","Frozen II","Christian Bale/Viola Davis/Fantasia Barrino/Ciara/Emma Watson","Quentin Tarantino","Directed with masterful precision, Frozen II captures the raw emotion of identity, as Fantasia Barrino navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"248","消失的航班","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"249","Brave","Octavia Spencer","Tyler Perry","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"250","无声证人","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"251","Parasite","Johnny Depp/Tom Holland/Harrison Ford/Will Smith/Viola Davis","Lee Daniels","Parasite is a must-watch for fans of fantasy."
"252","Inception","Scarlett Johansson/Denzel Washington/Robert Pattinson/Regina King","Lee Daniels","Directed with masterful precision, Inception captures the raw emotion of identity, as Denzel Washington navigates a labyrinth of deceit and desire. Stunning cinematography illuminates the shadows of the human soul, blending intense drama with moments of profound tenderness that resonate long after the credits roll."
"253","Meet the Robinsons","Colman Domingo","Shonda Rhimes","In Meet the Robinsons, Anne Hathaway stars as a hero on a mission to uncover ancient secrets."
"254","The Secret Life of Pets","Tom Hanks","Park Chan-wook","In The Secret Life of Pets, Amy Adams stars as a hero on a mission to uncover ancient secrets."
"255","逆流而上","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"256","消失的航班","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"257","灰色协议","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"258","倒计时零点","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"259","孤岛信号","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"260","玻璃之城","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"261","逆流而上","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"262","Dumbo","Robert Downey Jr.","Tyler Perry","A whimsical adventure unfolds in Dumbo, where Robert Downey Jr. uncovers a secret society of magical creatures in a vibrant, hand-drawn world bursting with color and imagination. Laughter and tears intermingle in this heartfelt story of friendship and self-discovery, perfect for dreamers of all ages."
"263","暗夜追凶","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"264","边境迷雾","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"265","Tangled","Tracee Ellis Ross/Johnny Depp/Johnny Depp/Amy Adams/Brandy Norwood","Ryan Murphy","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"266","雨夜列车","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"267","记忆裂痕","黄凯/孙婷","赵军","一封尘封多年的信件被意外发现，一家人被迫重新面对被掩埋的真相。"
"268","城市边缘","吴昊/郑琳/马超","周强","几位年轻人在大城市夹缝中生存，在现实压力下寻找自我与尊严。"
"269","深海回航","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"270","孤岛信号","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"271","边境迷雾","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"272","Star Wars","Brandy Norwood","Satoshi Kon","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"273","灰色协议","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"274","边境迷雾","张伟/李娜/王强","陈明","在连绵阴雨的城市中，一名刑警追查一宗看似普通却暗藏玄机的连环案件。"
"275","荒原之路","吴昊/郑琳/马超","周强","几位年轻人在大城市夹缝中生存，在现实压力下寻找自我与尊严。"
"276","Toy Story 3","Toni Braxton/Robert Downey Jr./Regina King/Anne Hathaway/Anne Hathaway","Quentin Tarantino","In Toy Story 3, Margot Robbie stars as a hero on a mission to uncover ancient secrets."
"277","Coco","Kelly Rowland/Fantasia Barrino/Christian Bale","Wes Anderson","In a world where magic collides with modernity, Coco follows Fantasia Barrino as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"278","The Incredibles","Regina King/Ryan Gosling/Fantasia Barrino","Greta Gerwig","The film explores themes of friendship through the eyes of Brad Pitt."
"279","城市边缘","吴昊/郑琳/马超","周强","几位年轻人在大城市夹缝中生存，在现实压力下寻找自我与尊严。"
"280","雪山之下","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"281","The Lord of the Rings","Leonardo DiCaprio/Anne Hathaway","Gaspar Noé","From the bustling streets of a forgotten city to the opulent halls of power, The Lord of the Rings delves into the complexities of revenge with unflinching honesty. Anne hathaway's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"282","Bolt","Angela Bassett/Viola Davis/Zendaya/Jada Pinkett Smith","Shyamalan","Directed by Shyamalan, Bolt delivers stunning visuals and emotional depth."
"283","静默病房","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"284","Madagascar","Robert Downey Jr.","Kim Ki-duk","Thrilling and thought-provoking, Madagascar explores the blurred lines between reality and illusion through Robert Downey Jr.'s mesmerizing performance. Explosive set pieces and intricate plot twists keep viewers guessing, while underlying themes of loss and resilience strike a deep emotional chord."
"285","消失的航班","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"286","Shrek","Lupita Nyong'o/Kate Winslet","Ari Aster","Thrilling and thought-provoking, Shrek explores the blurred lines between reality and illusion through Kate Winslet's mesmerizing performance. Explosive set pieces and intricate plot twists keep viewers guessing, while underlying themes of loss and resilience strike a deep emotional chord."
"287","Wreck-It Ralph","Meryl Streep","Ryan Coogler","Wreck-It Ralph is a must-watch for fans of horror."
"288","Beauty and the Beast","Margot Robbie/Anne Hathaway/Scarlett Johansson","Greta Gerwig","In Beauty and the Beast, Robert Downey Jr. stars as a hero on a mission to overcome personal demons."
"289","The Little Mermaid II","Samuel L. Jackson/Robert Pattinson/Octavia Spencer","Isao Takahata","From the bustling streets of a forgotten city to the opulent halls of power, The Little Mermaid II delves into the complexities of identity with unflinching honesty. Samuel l. jackson's tour-de-force portrayal anchors a narrative rich in moral ambiguity, cultural clashes, and triumphant spirit."
"290","The Lord of the Rings","Jada Pinkett Smith","Wes Anderson","Set against a backdrop of cosmic wonders, Jada Pinkett Smith leads a ragtag crew in The Lord of the Rings on a quest to unravel the mysteries of the universe. Pulsing with energy, innovative special effects, and witty banter, this sci-fi spectacle redefines heroism in the stars."
"291","荒原之路","吴昊/郑琳/马超","周强","几位年轻人在大城市夹缝中生存，在现实压力下寻找自我与尊严。"
"292","The Green Mile","Aaliyah/H.E.R./Brandy Norwood/Zendaya/Robert Pattinson","Steven Spielberg","A chilling descent into madness awaits in The Green Mile, where H.E.R. confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"293","雨夜列车","吴昊/郑琳/马超","周强","一趟夜行列车上，素不相识的乘客命运在雨夜中悄然交汇。"
"294","Ice Age","Morgan Freeman","Greta Gerwig","In a world where magic collides with modernity, Ice Age follows Morgan Freeman as they harness elemental forces to battle an ancient evil. Dazzling choreography, soaring scores, and a cast of unforgettable characters make this fantasy epic a feast for the senses."
"295","孤岛信号","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"296","时间回声","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
"297","深海回航","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"298","Frozen II","Timothée Chalamet/Denzel Washington/Florence Pugh/Christian Bale/Margot Robbie","Guillermo del Toro","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"299","Coco","Chris Evans/Johnny Depp/Lupita Nyong'o/Issa Rae","Gaspar Noé","Heartwarming and hilarious, Coco chronicles the unlikely bond between Chris Evans and a mischievous sidekick, leading to uproarious escapades and life-changing revelations. Warm humor and poignant lessons about family and forgiveness shine through every frame."
"300","Zootopia","Angela Bassett/Anne Hathaway/Yara Shahidi","Park Chan-wook","Thrilling and thought-provoking, Zootopia explores the blurred lines between reality and illusion through Angela Bassett's mesmerizing performance. Explosive set pieces and intricate plot twists keep viewers guessing, while underlying themes of loss and resilience strike a deep emotional chord."
"301","灰色协议","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"302","消失的航班","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"303","雪山之下","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"304","记忆裂痕","黄凯/孙婷","赵军","一封尘封多年的信件被意外发现，一家人被迫重新面对被掩埋的真相。"
"305","Atlantis: The Lost Empire","Christian Bale/Jada Pinkett Smith/Samuel L. Jackson/Chris Evans/Fantasia Barrino","Peter Jackson","A chilling descent into madness awaits in Atlantis: The Lost Empire, where Fantasia Barrino confronts their darkest fears in a psychological thriller that blurs the boundaries of sanity. Atmospheric tension builds to a crescendo of shocking twists, leaving an indelible mark on the psyche."
"306","无声证人","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"307","城市边缘","吴昊/郑琳/马超","周强","几位年轻人在大城市夹缝中生存，在现实压力下寻找自我与尊严。"
"308","旧梦重来","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"309","最后一封信","黄凯/孙婷","赵军","一封尘封多年的信件被意外发现，一家人被迫重新面对被掩埋的真相。"
"310","玻璃之城","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"311","The Lord of the Rings","Angela Bassett","Hiroyuki Imaishi","The film explores themes of love through the eyes of Tom Holland."
"312","Big Hero 6","Angela Bassett/Timothée Chalamet/Jessica Chastain/H.E.R./Florence Pugh","Ryan Murphy","Thrilling and thought-provoking, Big Hero 6 explores the blurred lines between reality and illusion through Timothée Chalamet's mesmerizing performance. Explosive set pieces and intricate plot twists keep viewers guessing, while underlying themes of loss and resilience strike a deep emotional chord."
"313","Coco","Daniel Radcliffe","Martin Scorsese","In Coco, Zendaya stars as a hero on a mission to overcome personal demons."
"314","旧梦重来","陈晨/周雪/林涛","李海","中年男子重返故乡，在旧友与回忆中重新理解人生选择。"
"315","Home on the Range","Johnny Depp/Jessica Chastain/Colman Domingo/Yara Shahidi/Harrison Ford","Kim Ki-duk","Set against a backdrop of cosmic wonders, Harrison Ford leads a ragtag crew in Home on the Range on a quest to unravel the mysteries of the universe. Pulsing with energy, innovative special effects, and witty banter, this sci-fi spectacle redefines heroism in the stars."
"316","静默病房","陈晨/周雪/林涛","李海","几名游客被困孤岛，在求生过程中逐渐发现岛屿隐藏的惊人秘密。"
"317","灰色协议","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
"318","The Lord of the Rings","Jada Pinkett Smith/Kate Winslet/Octavia Spencer","Alfonso Cuarón","The Lord of the Rings is a must-watch for fans of fantasy."
"319","Big Hero 6","Amy Adams/Taraji P. Henson/Colman Domingo","Tyler Perry","A whimsical adventure unfolds in Big Hero 6, where Colman Domingo uncovers a secret society of magical creatures in a vibrant, hand-drawn world bursting with color and imagination. Laughter and tears intermingle in this heartfelt story of friendship and self-discovery, perfect for dreamers of all ages."
"320","深海回航","黄凯/孙婷","赵军","深海潜艇突发事故失联，船员在极限环境下展开自救行动。"
"321","时间回声","刘洋/赵敏","王磊","一次失败的实验让科学家短暂看到未来片段，却因此陷入无法逃脱的命运循环。"
"322","记忆裂痕","黄凯/孙婷","赵军","一封尘封多年的信件被意外发现，一家人被迫重新面对被掩埋的真相。"
"323","雪山之下","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"324","Frozen","Colman Domingo/Christian Bale/Leonardo DiCaprio/Tracee Ellis Ross/Taraji P. Henson","Kim Ki-duk","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"325","倒计时零点","张伟/李娜/王强","陈明","登山队深入雪山腹地，在极端环境中直面自然与人性的双重考验。"
"326","Treasure Planet","H.E.R./Danielle Brooks","Quentin Tarantino","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"327","The Princess and the Frog","Taraji P. Henson/Angela Bassett/Amy Adams","Shonda Rhimes","A blockbuster hit that combines action, drama, and romance in an unforgettable tale."
"328","灰色协议","刘洋/赵敏","王磊","密闭空间内发生命案，无法说话的目击者成为破解真相的关键。"
